day,meal_type,meal_category,item
Sunday,Breakfast,,Keppa Kanji & Pickle
Sunday,Lunch,Special Meal,Veg Meals (Combo 1)
Sunday,Dinner,Meal,Parotta & Veg Kuruma
Monday,Breakfast,,Idli & Sambar & Tomato Chutney
Monday,Lunch,Meal,Jeera Rice & Dal Fry & Vaazhakkai Varuval & Curd Rice
Monday,Dinner,Meal,Chapathi & Channa Masala
Tuesday,Breakfast,,Uthapam & Peanut Chutney & Mint Chutney
Tuesday,Lunch,Super Meal,4 Chapathi & Bhindi & Kadai Paneer
Tuesday,Dinner,Meal,4 Uthapam & Dal Fry & Onion Chutney
Wednesday,Breakfast,,Pongal & Sambhar & Coconut Chutney
Wednesday,Lunch,Meal,Mushroom Biryani & Gobi 65 & Watermelon & Cucumber
Wednesday,Dinner,Super Meal,Ghee Podi Idly & Chutney
Thursday,Breakfast,,Idli & Sambhar & Tomato Chutney
Thursday,Lunch,Super Meal,Rice & Dal Sambhar
Thursday,Dinner,Meal,4 Poori & Potato Curry & Cut Onions & Lemon
Friday,Breakfast,,Rava Upma & Coconut Chutney
Friday,Lunch,Super Meal,Veg Meals (Combo 2)
Friday,Dinner,Meal,Idiyappam & Kadala Curry
Saturday,Breakfast,,Appam & Coconut Milk
Saturday,Lunch,Meal,Veg Meals (Combo 2)
Saturday,Dinner,Super Meal,4 Chapathi & Palak Paneer & Rajma Salad
